ID,Category,Question,Sample Answer,Answer Type,Source Basis
1,University Overview,What is Meridian University?,"Meridian University is an independent, coeducational institution offering undergraduate, postgraduate and doctoral programs across six schools. It was founded in 1978 on a 120-acre campus and has 5,000+ students from 30+ countries.",Direct,Reference + Answered FAQ
2,University Overview,When was Meridian University established?,Meridian University was established in 1978.,Direct,Reference + Answered FAQ
3,University Overview,Where is Meridian University located?,"The listed campus address is 221 Harborview Road, Meridian City, MC 40210.",Direct,Reference + Answered FAQ
4,University Overview,What type of university is Meridian University?,"The reference describes Meridian as an independent, coeducational institution.",Direct,Reference + Answered FAQ
5,University Overview,Is Meridian University coeducational?,Yes. The reference describes Meridian as coeducational.,Direct,Reference + Answered FAQ
6,University Overview,How large is the campus?,The campus is 120 acres.,Direct,Reference + Answered FAQ
7,University Overview,How many students study at Meridian?,"Meridian has 5,000+ students.",Direct,Reference + Answered FAQ
8,University Overview,How many faculty members does Meridian have?,The University at a Glance section lists 150+ faculty.,Direct,Reference + Answered FAQ
9,University Overview,How many countries are represented among Meridian students?,The overview says students come from more than 30 countries.,Direct,Reference + Answered FAQ
10,University Overview,How many programs does Meridian offer?,The University at a Glance section lists 50+ programs.,Direct,Reference + Answered FAQ
11,University Overview,What is Meridian University's motto?,The university motto/tagline is “Inspiring Tomorrow’s Leaders.”,Direct,Reference + Answered FAQ
12,University Overview,What is Meridian University's mission?,"To deliver an education that is rigorous, relevant and accessible, preparing students to lead with competence and integrity.",Direct,Reference + Answered FAQ
13,University Overview,What is Meridian University's vision?,To be recognized among the world’s most trusted institutions for producing graduates who shape the industries they enter.,Direct,Reference + Answered FAQ
14,University Overview,What are Meridian University's core values?,"Academic Integrity, Real-World Relevance, Inclusive Community, and Responsible Innovation.",Direct,Reference + Answered FAQ
15,University Overview,What is the history of Meridian University?,"1978: opened with one School of Engineering and 240 students; 1991: School of Management established; 2004: national accreditation for doctoral research programs; 2016: Innovation Labs and incubation wing opened; 2024: enrollment crossed 5,000 across six schools and 50+ programs.",Direct,Reference + Answered FAQ
16,University Overview,Who is the Vice Chancellor of Meridian University?,The Vice Chancellor is Dr. Helena Cross.,Direct,Reference + Answered FAQ
17,University Overview,What is Meridian University's placement rate?,95% placement rate.,Direct,Reference + Answered FAQ
18,University Overview,How many alumni does Meridian University have?,"40,000+ alumni working across 70 countries and every major industry.",Direct,Reference + Answered FAQ
19,University Overview,How much active research funding does Meridian have?,Over $40M in active research funding across engineering and sciences.,Direct,Reference + Answered FAQ
20,University Overview,How many international partner universities does Meridian have?,60+ partner universities worldwide through exchange and research agreements.,Direct,Reference + Answered FAQ
21,University Overview,What are Meridian University's major achievements?,"The reference lists a top-25 private-university national ranking for four consecutive years, over $40M in active research funding, 60+ exchange/research partners, and 40,000+ alumni across 70 countries.",Direct,Reference + Answered FAQ
22,University Overview,Is Meridian University accredited?,"Yes. The reference lists the National Board of Accreditation, International Association of Universities, Global Business School Network, and Engineering Council Certified among its accreditations/recognitions.",Direct,Reference + Answered FAQ
23,University Overview,What accreditations does Meridian University have?,National Board of Accreditation; International Association of Universities; Global Business School Network; Engineering Council Certified.,Direct,Reference + Answered FAQ
24,University Overview,How is Meridian different according to the reference?,"The reference emphasizes rigorous academics combined with industry exposure, research and community engagement, supported by innovation labs, research opportunities, clubs, sports facilities and residence halls.",Direct,Reference + Answered FAQ
25,Schools,How many schools does Meridian University have?,Meridian has six schools.,Direct,Reference + Answered FAQ
26,Schools,What schools are available at Meridian University?,The six schools are: School of Engineering; School of Computer Science; School of Business / Management; School of Arts; School of Science; School of Commerce.,Direct,Reference + Answered FAQ
27,Schools,What does the School of Engineering focus on?,"The School of Engineering focuses on Core, computer and electronics engineering with strong lab exposure.",Direct,Reference + Answered FAQ
28,Schools,Tell me about the School of Engineering.,"The School of Engineering focuses on Core, computer and electronics engineering with strong lab exposure.",Direct,Reference + Answered FAQ
29,Schools,Which subjects are covered by the School of Engineering?,"The reference describes the School of Engineering as focusing on Core, computer and electronics engineering with strong lab exposure.",Direct,Reference + Answered FAQ
30,Schools,What does the School of Computer Science focus on?,"The School of Computer Science focuses on Software, AI, data science and cybersecurity.",Direct,Reference + Answered FAQ
31,Schools,Tell me about the School of Computer Science.,"The School of Computer Science focuses on Software, AI, data science and cybersecurity.",Direct,Reference + Answered FAQ
32,Schools,Which subjects are covered by the School of Computer Science?,"The reference describes the School of Computer Science as focusing on Software, AI, data science and cybersecurity.",Direct,Reference + Answered FAQ
33,Schools,What does the School of Business / Management focus on?,"The School of Business / Management focuses on Finance, marketing and entrepreneurship.",Direct,Reference + Answered FAQ
34,Schools,Tell me about the School of Business / Management.,"The School of Business / Management focuses on Finance, marketing and entrepreneurship.",Direct,Reference + Answered FAQ
35,Schools,Which subjects are covered by the School of Business / Management?,"The reference describes the School of Business / Management as focusing on Finance, marketing and entrepreneurship.",Direct,Reference + Answered FAQ
36,Schools,What does the School of Arts focus on?,"The School of Arts focuses on Design, media, literature and humanities.",Direct,Reference + Answered FAQ
37,Schools,Tell me about the School of Arts.,"The School of Arts focuses on Design, media, literature and humanities.",Direct,Reference + Answered FAQ
38,Schools,Which subjects are covered by the School of Arts?,"The reference describes the School of Arts as focusing on Design, media, literature and humanities.",Direct,Reference + Answered FAQ
39,Schools,What does the School of Science focus on?,"The School of Science focuses on Physics, chemistry, biology and mathematics with research tracks.",Direct,Reference + Answered FAQ
40,Schools,Tell me about the School of Science.,"The School of Science focuses on Physics, chemistry, biology and mathematics with research tracks.",Direct,Reference + Answered FAQ
41,Schools,Which subjects are covered by the School of Science?,"The reference describes the School of Science as focusing on Physics, chemistry, biology and mathematics with research tracks.",Direct,Reference + Answered FAQ
42,Schools,What does the School of Commerce focus on?,"The School of Commerce focuses on Accounting, economics and business analytics.",Direct,Reference + Answered FAQ
43,Schools,Tell me about the School of Commerce.,"The School of Commerce focuses on Accounting, economics and business analytics.",Direct,Reference + Answered FAQ
44,Schools,Which subjects are covered by the School of Commerce?,"The reference describes the School of Commerce as focusing on Accounting, economics and business analytics.",Direct,Reference + Answered FAQ
45,Undergraduate Programs,Is B.Tech Computer Science available?,Yes. B.Tech Computer Science is listed as an undergraduate program.,Direct,Reference + Answered FAQ
46,Undergraduate Programs,What is the duration of B.Tech Computer Science?,The duration of B.Tech Computer Science is 4 Years.,Direct,Reference + Answered FAQ
47,Undergraduate Programs,What is the eligibility for B.Tech Computer Science?,The listed eligibility for B.Tech Computer Science is 10+2 (PCM).,Direct,Reference + Answered FAQ
48,Undergraduate Programs,What is the tuition fee for B.Tech Computer Science?,"The listed tuition for B.Tech Computer Science is $14,500 per year.",Direct,Reference + Answered FAQ
49,Undergraduate Programs,How much does B.Tech Computer Science cost per year?,"The listed tuition for B.Tech Computer Science is $14,500 per year.",Direct,Reference + Answered FAQ
50,Undergraduate Programs,What qualification do I need for B.Tech Computer Science?,The reference lists 10+2 (PCM) as the eligibility for B.Tech Computer Science.,Direct,Reference + Answered FAQ
51,Undergraduate Programs,How long is B.Tech Computer Science?,B.Tech Computer Science is a 4 Years program.,Direct,Reference + Answered FAQ
52,Undergraduate Programs,Is B.Tech AI & Machine Learning available?,Yes. B.Tech AI & Machine Learning is listed as an undergraduate program.,Direct,Reference + Answered FAQ
53,Undergraduate Programs,What is the duration of B.Tech AI & Machine Learning?,The duration of B.Tech AI & Machine Learning is 4 Years.,Direct,Reference + Answered FAQ
54,Undergraduate Programs,What is the eligibility for B.Tech AI & Machine Learning?,The listed eligibility for B.Tech AI & Machine Learning is 10+2 (PCM).,Direct,Reference + Answered FAQ
55,Undergraduate Programs,What is the tuition fee for B.Tech AI & Machine Learning?,"The listed tuition for B.Tech AI & Machine Learning is $15,200 per year.",Direct,Reference + Answered FAQ
56,Undergraduate Programs,How much does B.Tech AI & Machine Learning cost per year?,"The listed tuition for B.Tech AI & Machine Learning is $15,200 per year.",Direct,Reference + Answered FAQ
57,Undergraduate Programs,What qualification do I need for B.Tech AI & Machine Learning?,The reference lists 10+2 (PCM) as the eligibility for B.Tech AI & Machine Learning.,Direct,Reference + Answered FAQ
58,Undergraduate Programs,How long is B.Tech AI & Machine Learning?,B.Tech AI & Machine Learning is a 4 Years program.,Direct,Reference + Answered FAQ
59,Undergraduate Programs,Is B.Tech Information Technology available?,Yes. B.Tech Information Technology is listed as an undergraduate program.,Direct,Reference + Answered FAQ
60,Undergraduate Programs,What is the duration of B.Tech Information Technology?,The duration of B.Tech Information Technology is 4 Years.,Direct,Reference + Answered FAQ
61,Undergraduate Programs,What is the eligibility for B.Tech Information Technology?,The listed eligibility for B.Tech Information Technology is 10+2 (PCM).,Direct,Reference + Answered FAQ
62,Undergraduate Programs,What is the tuition fee for B.Tech Information Technology?,"The listed tuition for B.Tech Information Technology is $14,200 per year.",Direct,Reference + Answered FAQ
63,Undergraduate Programs,How much does B.Tech Information Technology cost per year?,"The listed tuition for B.Tech Information Technology is $14,200 per year.",Direct,Reference + Answered FAQ
64,Undergraduate Programs,What qualification do I need for B.Tech Information Technology?,The reference lists 10+2 (PCM) as the eligibility for B.Tech Information Technology.,Direct,Reference + Answered FAQ
65,Undergraduate Programs,How long is B.Tech Information Technology?,B.Tech Information Technology is a 4 Years program.,Direct,Reference + Answered FAQ
66,Undergraduate Programs,Is Bachelor of Business Administration (BBA) available?,Yes. Bachelor of Business Administration (BBA) is listed as an undergraduate program.,Direct,Reference + Answered FAQ
67,Undergraduate Programs,What is the duration of Bachelor of Business Administration (BBA)?,The duration of Bachelor of Business Administration (BBA) is 3 Years.,Direct,Reference + Answered FAQ
68,Undergraduate Programs,What is the eligibility for Bachelor of Business Administration (BBA)?,The listed eligibility for Bachelor of Business Administration (BBA) is 10+2 (Any Stream).,Direct,Reference + Answered FAQ
69,Undergraduate Programs,What is the tuition fee for Bachelor of Business Administration (BBA)?,"The listed tuition for Bachelor of Business Administration (BBA) is $10,800 per year.",Direct,Reference + Answered FAQ
70,Undergraduate Programs,How much does Bachelor of Business Administration (BBA) cost per year?,"The listed tuition for Bachelor of Business Administration (BBA) is $10,800 per year.",Direct,Reference + Answered FAQ
71,Undergraduate Programs,What qualification do I need for Bachelor of Business Administration (BBA)?,The reference lists 10+2 (Any Stream) as the eligibility for Bachelor of Business Administration (BBA).,Direct,Reference + Answered FAQ
72,Undergraduate Programs,How long is Bachelor of Business Administration (BBA)?,Bachelor of Business Administration (BBA) is a 3 Years program.,Direct,Reference + Answered FAQ
73,Undergraduate Programs,Is Bachelor of Computer Applications (BCA) available?,Yes. Bachelor of Computer Applications (BCA) is listed as an undergraduate program.,Direct,Reference + Answered FAQ
74,Undergraduate Programs,What is the duration of Bachelor of Computer Applications (BCA)?,The duration of Bachelor of Computer Applications (BCA) is 3 Years.,Direct,Reference + Answered FAQ
75,Undergraduate Programs,What is the eligibility for Bachelor of Computer Applications (BCA)?,The listed eligibility for Bachelor of Computer Applications (BCA) is 10+2 (Any Stream).,Direct,Reference + Answered FAQ
76,Undergraduate Programs,What is the tuition fee for Bachelor of Computer Applications (BCA)?,"The listed tuition for Bachelor of Computer Applications (BCA) is $10,200 per year.",Direct,Reference + Answered FAQ
77,Undergraduate Programs,How much does Bachelor of Computer Applications (BCA) cost per year?,"The listed tuition for Bachelor of Computer Applications (BCA) is $10,200 per year.",Direct,Reference + Answered FAQ
78,Undergraduate Programs,What qualification do I need for Bachelor of Computer Applications (BCA)?,The reference lists 10+2 (Any Stream) as the eligibility for Bachelor of Computer Applications (BCA).,Direct,Reference + Answered FAQ
79,Undergraduate Programs,How long is Bachelor of Computer Applications (BCA)?,Bachelor of Computer Applications (BCA) is a 3 Years program.,Direct,Reference + Answered FAQ
80,Undergraduate Programs,Is Bachelor of Commerce (B.Com) available?,Yes. Bachelor of Commerce (B.Com) is listed as an undergraduate program.,Direct,Reference + Answered FAQ
81,Undergraduate Programs,What is the duration of Bachelor of Commerce (B.Com)?,The duration of Bachelor of Commerce (B.Com) is 3 Years.,Direct,Reference + Answered FAQ
82,Undergraduate Programs,What is the eligibility for Bachelor of Commerce (B.Com)?,The listed eligibility for Bachelor of Commerce (B.Com) is 10+2 (Any Stream).,Direct,Reference + Answered FAQ
83,Undergraduate Programs,What is the tuition fee for Bachelor of Commerce (B.Com)?,"The listed tuition for Bachelor of Commerce (B.Com) is $8,600 per year.",Direct,Reference + Answered FAQ
84,Undergraduate Programs,How much does Bachelor of Commerce (B.Com) cost per year?,"The listed tuition for Bachelor of Commerce (B.Com) is $8,600 per year.",Direct,Reference + Answered FAQ
85,Undergraduate Programs,What qualification do I need for Bachelor of Commerce (B.Com)?,The reference lists 10+2 (Any Stream) as the eligibility for Bachelor of Commerce (B.Com).,Direct,Reference + Answered FAQ
86,Undergraduate Programs,How long is Bachelor of Commerce (B.Com)?,Bachelor of Commerce (B.Com) is a 3 Years program.,Direct,Reference + Answered FAQ
87,Undergraduate Programs,Is Bachelor of Arts (BA) available?,Yes. Bachelor of Arts (BA) is listed as an undergraduate program.,Direct,Reference + Answered FAQ
